ZONE T="first 0", I=  57, F=POINT
 -0.99908   0.01951
 -0.99768   0.02031
 -0.99621   0.02109
 -0.99391   0.02223
 -0.99148   0.02332
 -0.98892   0.02438
 -0.98621   0.02540
 -0.98337   0.02639
 -0.97886   0.02781
 -0.97402   0.02916
 -0.96887   0.03045
 -0.96053   0.03226
 -0.95147   0.03395
 -0.94168   0.03553
 -0.93116   0.03700
 -0.91993   0.03837
 -0.90798   0.03966
 -0.89534   0.04086
 -0.88200   0.04200
 -0.86799   0.04306
 -0.85333   0.04406
 -0.83804   0.04500
 -0.82213   0.04589
 -0.80563   0.04673
 -0.78857   0.04752
 -0.77097   0.04826
 -0.75286   0.04896
 -0.73426   0.04962
 -0.71522   0.05025
 -0.69575   0.05084
 -0.67590   0.05139
 -0.65569   0.05191
 -0.63516   0.05240
 -0.61435   0.05287
 -0.59329   0.05330
 -0.57201   0.05370
 -0.55056   0.05408
 -0.52898   0.05443
 -0.50729   0.05475
 -0.48554   0.05505
 -0.46376   0.05532
 -0.44200   0.05557
 -0.42029   0.05579
 -0.39867   0.05598
 -0.37718   0.05614
 -0.35585   0.05628
 -0.33473   0.05639
 -0.31385   0.05646
 -0.29324   0.05651
 -0.27295   0.05652
 -0.25300   0.05649
 -0.23343   0.05643
 -0.21428   0.05633
 -0.19558   0.05618
 -0.17735   0.05598
 -0.15963   0.05572
 -0.14245   0.05540
 -0.12583   0.05502
 -0.10980   0.05455
 -0.09438   0.05399
 -0.07959   0.05333
 -0.06545   0.05254
 -0.05197   0.05161
 -0.03298   0.04989
 -0.01543   0.04768
  0.00079   0.04489
  0.01097   0.04269
  0.02073   0.04024
  0.03013   0.03757
  0.04367   0.03328
  0.06295   0.02656
  0.08122   0.01992
  0.09298   0.01565
  0.10069   0.01290
  0.10835   0.01023
  0.11599   0.00762
  0.12363   0.00509
  0.13133   0.00262
  0.13909   0.00021
  0.14694  -0.00213
  0.15491  -0.00442
  0.16299  -0.00665
  0.17121  -0.00883
  0.18379  -0.01199
  0.19668  -0.01503
  0.20987  -0.01795
  0.23020  -0.02209
  0.25114  -0.02596
  0.27262  -0.02956
  0.29459  -0.03289
  0.31700  -0.03597
  0.33981  -0.03881
  0.36296  -0.04141
  0.38643  -0.04379
  0.41018  -0.04596
  0.43418  -0.04793
  0.45841  -0.04970
  0.48285  -0.05129
  0.50747  -0.05271
  0.53225  -0.05396
  0.55719  -0.05505
  0.58227  -0.05599
  0.60747  -0.05679
  0.63279  -0.05745
  0.65822  -0.05798
  0.68375  -0.05839
  0.70936  -0.05868
  0.73506  -0.05885
  0.76084  -0.05892
  0.78668  -0.05888
  0.81260  -0.05874
  0.83857  -0.05851
  0.86460  -0.05818
  0.89069  -0.05776
  0.91682  -0.05726
  0.94300  -0.05668
  0.96922  -0.05602
ZONE T="3     4", I= 165, F=POINT
 -1.79463  -0.47633
 -1.79461  -0.47633
 -1.76970  -0.46714
 -1.74486  -0.45786
 -1.72010  -0.44848
 -1.69541  -0.43900
 -1.67080  -0.42941
 -1.64627  -0.41971
 -1.62184  -0.40989
 -1.59751  -0.39995
 -1.57329  -0.38988
 -1.54917  -0.37967
 -1.52518  -0.36932
 -1.50132  -0.35881
 -1.47761  -0.34815
 -1.45404  -0.33733
 -1.43065  -0.32632
 -1.40744  -0.31513
 -1.38443  -0.30374
 -1.36164  -0.29214
 -1.33909  -0.28031
 -1.31681  -0.26825
 -1.29482  -0.25594
 -1.27317  -0.24336
 -1.25189  -0.23050
 -1.23102  -0.21733
 -1.21063  -0.20384
 -1.19077  -0.19001
 -1.17153  -0.17582
 -1.15299  -0.16126
 -1.13527  -0.14633
 -1.11850  -0.13101
 -1.10283  -0.11534
 -1.09307  -0.10472
 -1.08394  -0.09398
 -1.07547  -0.08318
 -1.06771  -0.07236
 -1.06070  -0.06160
 -1.05444  -0.05098
 -1.04889  -0.04061
 -1.04397  -0.03061
 -1.03955  -0.02109
 -1.03542  -0.01215
 -1.03137  -0.00386
 -1.02857   0.00130
 -1.02663   0.00457
 -1.02460   0.00771
 -1.02245   0.01072
 -1.02095   0.01265
 -1.01939   0.01452
 -1.01776   0.01635
 -1.01605   0.01811
 -1.01427   0.01983
 -1.01240   0.02149
 -1.01044   0.02310
 -1.00840   0.02467
 -1.00626   0.02618
 -1.00402   0.02766
 -1.00167   0.02908
 -0.99923   0.03047
 -0.99667   0.03181
 -0.99401   0.03311
 -0.99123   0.03437
 -0.98833   0.03560
 -0.98377   0.03737
 -0.97894   0.03906
 -0.97383   0.04067
 -0.96844   0.04222
 -0.95983   0.04442
 -0.95058   0.04648
 -0.93548   0.04934
 -0.91891   0.05194
 -0.90090   0.05432
 -0.88147   0.05649
 -0.86065   0.05848
 -0.83850   0.06031
 -0.81506   0.06199
 -0.79042   0.06353
 -0.77336   0.06449
 -0.75582   0.06539
 -0.73782   0.06625
 -0.71940   0.06706
 -0.70057   0.06783
 -0.68138   0.06855
 -0.66185   0.06924
 -0.64200   0.06988
 -0.62189   0.07049
 -0.60152   0.07106
 -0.58094   0.07160
 -0.56019   0.07210
 -0.53929   0.07257
 -0.51828   0.07300
 -0.49720   0.07340
 -0.47607   0.07377
 -0.45494   0.07411
 -0.43384   0.07441
 -0.41281   0.07469
 -0.39187   0.07492
 -0.37107   0.07513
 -0.35044   0.07529
 -0.33000   0.07543
 -0.30980   0.07552
 -0.28987   0.07558
 -0.27024   0.07559
 -0.25093   0.07556
 -0.23198   0.07548
 -0.21343   0.07535
 -0.19528   0.07517
 -0.17758   0.07493
 -0.16035   0.07462
 -0.14360   0.07424
 -0.12736   0.07378
 -0.11165   0.07324
 -0.09649   0.07260
 -0.07478   0.07142
 -0.05433   0.06996
 -0.03514   0.06814
 -0.01715   0.06592
 -0.00026   0.06327
  0.01566   0.06019
  0.03078   0.05673
  0.05225   0.05104
  0.07259   0.04509
  0.09212   0.03916
  0.10484   0.03531
  0.11743   0.03157
  0.12996   0.02795
  0.14253   0.02446
  0.15521   0.02108
  0.16804   0.01783
  0.18106   0.01471
  0.19430   0.01170
  0.20777   0.00881
  0.22147   0.00604
  0.24245   0.00211
  0.26391  -0.00156
  0.28584  -0.00497
  0.30819  -0.00813
  0.33092  -0.01105
  0.35400  -0.01373
  0.37739  -0.01619
  0.40106  -0.01844
  0.42499  -0.02049
  0.44915  -0.02234
  0.47351  -0.02400
  0.49807  -0.02549
  0.52280  -0.02681
  0.54769  -0.02797
  0.57272  -0.02897
  0.59788  -0.02983
  0.62316  -0.03056
  0.64855  -0.03115
  0.67404  -0.03161
  0.69962  -0.03195
  0.72529  -0.03218
  0.75104  -0.03229
  0.77686  -0.03230
  0.80275  -0.03221
  0.82870  -0.03201
  0.85471  -0.03173
  0.88078  -0.03136
  0.90689  -0.03089
  0.93306  -0.03035
  0.95926  -0.02972
  0.98551  -0.02902
ZONE T="4     5", I= 142, F=POINT
 -1.80459  -0.45142
 -1.80457  -0.45141
 -1.77970  -0.44222
 -1.75489  -0.43294
 -1.73017  -0.42355
 -1.70552  -0.41407
 -1.68095  -0.40448
 -1.65648  -0.39477
 -1.63210  -0.38495
 -1.60782  -0.37501
 -1.58365  -0.36493
 -1.55960  -0.35473
 -1.53568  -0.34438
 -1.51190  -0.33387
 -1.48826  -0.32322
 -1.46478  -0.31239
 -1.44148  -0.30140
 -1.41837  -0.29021
 -1.39547  -0.27884
 -1.37280  -0.26725
 -1.35039  -0.25545
 -1.32825  -0.24342
 -1.30642  -0.23114
 -1.28494  -0.21861
 -1.26384  -0.20581
 -1.24318  -0.19272
 -1.22300  -0.17933
 -1.20338  -0.16563
 -1.18438  -0.15161
 -1.16610  -0.13727
 -1.14863  -0.12261
 -1.13208  -0.10766
 -1.11657  -0.09245
 -1.10223  -0.07708
 -1.08915  -0.06165
 -1.08115  -0.05143
 -1.07372  -0.04133
 -1.06682  -0.03144
 -1.06039  -0.02183
 -1.05433  -0.01259
 -1.04848  -0.00378
 -1.04270   0.00452
 -1.03877   0.00976
 -1.03473   0.01475
 -1.03052   0.01950
 -1.02759   0.02253
 -1.02455   0.02545
 -1.02137   0.02826
 -1.01805   0.03097
 -1.01457   0.03357
 -1.01091   0.03608
 -1.00708   0.03849
 -1.00305   0.04080
 -0.99881   0.04303
 -0.99437   0.04517
 -0.98970   0.04722
 -0.98481   0.04920
 -0.97968   0.05109
 -0.97431   0.05292
 -0.96579   0.05552
 -0.95671   0.05798
 -0.94706   0.06030
 -0.93150   0.06353
 -0.91463   0.06650
 -0.89645   0.06923
 -0.87698   0.07175
 -0.85625   0.07407
 -0.83431   0.07620
 -0.81120   0.07818
 -0.78698   0.08000
 -0.76172   0.08168
 -0.73550   0.08324
 -0.70838   0.08467
 -0.68047   0.08600
 -0.65184   0.08722
 -0.62260   0.08833
 -0.59284   0.08936
 -0.56267   0.09029
 -0.53219   0.09113
 -0.50150   0.09189
 -0.47072   0.09256
 -0.43995   0.09315
 -0.40930   0.09365
 -0.37887   0.09406
 -0.34878   0.09438
 -0.31911   0.09460
 -0.28997   0.09473
 -0.26146   0.09475
 -0.23367   0.09465
 -0.20668   0.09443
 -0.18057   0.09406
 -0.15540   0.09354
 -0.13124   0.09285
 -0.10814   0.09195
 -0.08612   0.09082
 -0.06519   0.08944
 -0.03584   0.08680
 -0.00878   0.08343
  0.01630   0.07929
  0.03976   0.07453
  0.06197   0.06936
  0.08325   0.06402
  0.10387   0.05869
  0.11739   0.05521
  0.13082   0.05182
  0.14422   0.04851
  0.15765   0.04531
  0.17116   0.04222
  0.18478   0.03924
  0.19855   0.03636
  0.21249   0.03360
  0.23371   0.02967
  0.25533   0.02599
  0.27735   0.02255
  0.29975   0.01936
  0.32250   0.01640
  0.34557   0.01367
  0.36895   0.01116
  0.39260   0.00886
  0.41650   0.00676
  0.44063   0.00486
  0.46496   0.00314
  0.48949   0.00160
  0.51418   0.00023
  0.53904  -0.00098
  0.56404  -0.00203
  0.58917  -0.00294
  0.61443  -0.00371
  0.63979  -0.00435
  0.66526  -0.00485
  0.69082  -0.00524
  0.71647  -0.00550
  0.74220  -0.00566
  0.76800  -0.00570
  0.79387  -0.00565
  0.81981  -0.00549
  0.84581  -0.00524
  0.87186  -0.00490
  0.89796  -0.00447
  0.92411  -0.00396
  0.95031  -0.00337
  0.97655  -0.00269
ZONE T="5     6", I= 131, F=POINT
 -1.81401  -0.42632
 -1.81399  -0.42632
 -1.78915  -0.41712
 -1.76438  -0.40784
 -1.73969  -0.39846
 -1.71508  -0.38897
 -1.69055  -0.37938
 -1.66612  -0.36968
 -1.64179  -0.35986
 -1.61756  -0.34992
 -1.59345  -0.33985
 -1.56945  -0.32965
 -1.54559  -0.31930
 -1.52187  -0.30881
 -1.49831  -0.29816
 -1.47491  -0.28735
 -1.45169  -0.27637
 -1.42867  -0.26521
 -1.40586  -0.25386
 -1.38329  -0.24230
 -1.36099  -0.23054
 -1.33897  -0.21856
 -1.31726  -0.20634
 -1.29591  -0.19388
 -1.27496  -0.18116
 -1.25444  -0.16818
 -1.23442  -0.15493
 -1.21494  -0.14140
 -1.19609  -0.12759
 -1.17793  -0.11351
 -1.16055  -0.09918
 -1.14404  -0.08464
 -1.12846  -0.06995
 -1.11390  -0.05519
 -1.10037  -0.04050
 -1.08784  -0.02604
 -1.07618  -0.01201
 -1.06514   0.00137
 -1.05435   0.01392
 -1.04705   0.02175
 -1.04205   0.02672
 -1.03690   0.03148
 -1.03155   0.03602
 -1.02596   0.04036
 -1.02009   0.04450
 -1.01389   0.04843
 -1.00734   0.05217
 -1.00040   0.05572
 -0.99305   0.05909
 -0.98525   0.06229
 -0.97700   0.06532
 -0.96826   0.06819
 -0.95902   0.07092
 -0.94928   0.07350
 -0.93371   0.07713
 -0.91695   0.08049
 -0.89902   0.08360
 -0.87992   0.08647
 -0.85967   0.08914
 -0.83830   0.09161
 -0.81584   0.09390
 -0.79236   0.09602
 -0.76789   0.09799
 -0.74252   0.09981
 -0.71630   0.10151
 -0.68932   0.10307
 -0.66164   0.10452
 -0.63336   0.10585
 -0.60457   0.10708
 -0.57536   0.10820
 -0.54582   0.10923
 -0.51604   0.11015
 -0.48613   0.11098
 -0.45618   0.11172
 -0.42630   0.11235
 -0.39657   0.11289
 -0.36709   0.11334
 -0.33796   0.11368
 -0.30927   0.11391
 -0.28111   0.11403
 -0.25354   0.11403
 -0.22667   0.11391
 -0.20055   0.11364
 -0.17524   0.11323
 -0.15081   0.11264
 -0.12729   0.11188
 -0.10471   0.11091
 -0.08309   0.10971
 -0.05247   0.10746
 -0.02390   0.10460
  0.00280   0.10112
  0.02789   0.09708
  0.05168   0.09260
  0.07446   0.08787
  0.09650   0.08304
  0.11802   0.07824
  0.13927   0.07356
  0.16041   0.06904
  0.18162   0.06473
  0.20300   0.06063
  0.22463   0.05675
  0.24656   0.05311
