ZONE T="first 0", I=  42, F=POINT
 -0.84596   0.72763
 -0.81517   0.75969
 -0.78325   0.79061
 -0.75023   0.82036
 -0.71615   0.84888
 -0.68104   0.87614
 -0.64496   0.90208
 -0.60794   0.92668
 -0.57003   0.94989
 -0.53129   0.97167
 -0.49177   0.99200
 -0.45152   1.01085
 -0.41060   1.02818
 -0.36905   1.04398
 -0.32695   1.05822
 -0.28435   1.07089
 -0.24131   1.08198
 -0.19789   1.09146
 -0.15415   1.09933
 -0.11015   1.10560
 -0.06595   1.11025
 -0.02161   1.11328
  0.02281   1.11471
  0.06726   1.11454
  0.11167   1.11279
  0.15599   1.10947
  0.20016   1.10460
  0.24414   1.09820
  0.28788   1.09031
  0.33133   1.08095
  0.37444   1.07015
  0.41718   1.05797
  0.45952   1.04443
  0.50141   1.02960
  0.54284   1.01351
  0.58379   0.99623
  0.62424   0.97782
  0.66420   0.95835
  0.72319   0.92731
  0.78112   0.89431
  0.83808   0.85966
  0.92207   0.80538
  1.00508   0.74963
  1.08828   0.69416
  1.17306   0.64112
  1.23112   0.60835
  1.27065   0.58805
  1.31089   0.56916
  1.35181   0.55182
  1.39338   0.53611
  1.43554   0.52204
  1.47821   0.50961
  1.52131   0.49876
  1.56476   0.48941
  1.60849   0.48145
  1.65243   0.47479
  1.69654   0.46932
  1.76292   0.46313
  1.82946   0.45906
  1.89609   0.45685
  1.99609   0.45650
  2.09605   0.45915
  2.19592   0.46428
  2.29566   0.47152
  2.39525   0.48056
  2.49468   0.49117
  2.59396   0.50316
  2.69308   0.51638
  2.79205   0.53070
  2.89088   0.54600
  2.98955   0.56221
  3.08809   0.57925
  3.18650   0.59704
  3.28477   0.61553
  3.38292   0.63468
  3.48095   0.65443
  3.57887   0.67475
  3.67667   0.69560
  3.77436   0.71696
  3.87195   0.73878
  3.96944   0.76105
  4.06683   0.78375
  4.16413   0.80684
  4.26133   0.83032
  4.35845   0.85416
  4.45548   0.87834
  4.55243   0.90285
  4.64930   0.92769
  4.74609   0.95282
  4.84280   0.97824
  4.93944   1.00394
ZONE T="3     4", I= 142, F=POINT
 -4.19924  -2.85251
 -4.11443  -2.79951
 -4.02979  -2.74626
 -3.94531  -2.69276
 -3.86100  -2.63898
 -3.77687  -2.58493
 -3.69293  -2.53057
 -3.60919  -2.47591
 -3.52566  -2.42093
 -3.44236  -2.36561
 -3.35929  -2.30993
 -3.27648  -2.25388
 -3.19393  -2.19743
 -3.11167  -2.14057
 -3.02972  -2.08326
 -2.94810  -2.02549
 -2.86683  -1.96722
 -2.78594  -1.90843
 -2.70546  -1.84906
 -2.62544  -1.78909
 -2.54592  -1.72847
 -2.46694  -1.66713
 -2.38856  -1.60503
 -2.31085  -1.54208
 -2.23391  -1.47822
 -2.15781  -1.41333
 -2.08270  -1.34731
 -2.00873  -1.28003
 -1.93607  -1.21132
 -1.86498  -1.14099
 -1.79577  -1.06881
 -1.72883  -0.99452
 -1.66466  -0.91782
 -1.60392  -0.83838
 -1.56572  -0.78374
 -1.52963  -0.72769
 -1.49589  -0.67019
 -1.46472  -0.61126
 -1.43625  -0.55098
 -1.41051  -0.48948
 -1.38737  -0.42696
 -1.36654  -0.36363
 -1.34759  -0.29971
 -1.32164  -0.20314
 -1.29690  -0.10625
 -1.27157  -0.00951
 -1.24416   0.08666
 -1.21345   0.18183
 -1.17850   0.27552
 -1.15253   0.33692
 -1.12424   0.39729
 -1.09351   0.45645
 -1.06029   0.51425
 -1.02453   0.57051
 -0.98621   0.62507
 -0.94535   0.67775
 -0.90200   0.72839
 -0.85619   0.77683
 -0.82433   0.80782
 -0.79145   0.83772
 -0.75757   0.86648
 -0.72272   0.89407
 -0.68695   0.92044
 -0.65028   0.94556
 -0.61276   0.96939
 -0.57444   0.99190
 -0.53535   1.01305
 -0.49555   1.03283
 -0.45508   1.05120
 -0.41399   1.06814
 -0.37234   1.08363
 -0.33016   1.09766
 -0.28752   1.11020
 -0.24448   1.12125
 -0.20107   1.13080
 -0.15736   1.13884
 -0.11340   1.14538
 -0.06924   1.15040
 -0.02493   1.15392
  0.01947   1.15595
  0.06391   1.15648
