ZONE T="first 0", I=  42, F=POINT
  0.35919  -0.33445
  0.38402  -0.33566
  0.40900  -0.33671
  0.43411  -0.33761
  0.45934  -0.33837
  0.48468  -0.33899
  0.51013  -0.33949
  0.53568  -0.33987
  0.56131  -0.34013
  0.58702  -0.34027
  0.61280  -0.34031
  0.63866  -0.34025
  0.66458  -0.34009
  0.69056  -0.33983
  0.71660  -0.33948
  0.74268  -0.33905
  0.76882  -0.33853
  0.79500  -0.33793
  0.82122  -0.33725
ZONE T="up   **", I=   3, F=POINT
  1.02250   0.12501
  1.04888   0.12590
  1.07529   0.12687
ZONE T="line  0", I=  42, F=POINT
  0.08090  -0.05878
  0.08316  -0.06029
  0.08934  -0.06378
  0.09870  -0.06832
  0.11063  -0.07334
  0.12465  -0.07851
  0.14038  -0.08362
  0.15751  -0.08856
  0.17580  -0.09327
  0.19507  -0.09772
  0.21517  -0.10189
  0.23597  -0.10578
  0.25739  -0.10940
  0.27933  -0.11275
  0.30174  -0.11584
  0.32454  -0.11868
  0.34771  -0.12129
  0.37118  -0.12367
  0.39494  -0.12584
  0.41895  -0.12780
  0.44319  -0.12957
  0.46762  -0.13116
  0.49225  -0.13257
  0.51703  -0.13382
  0.54197  -0.13492
  0.56705  -0.13586
  0.59225  -0.13666
  0.61756  -0.13732
  0.64298  -0.13785
  0.66850  -0.13826
  0.69411  -0.13855
  0.71980  -0.13873
  0.74556  -0.13880
  0.77140  -0.13876
  0.79730  -0.13863
  0.82327  -0.13840
  0.84929  -0.13808
  0.87536  -0.13767
  0.90148  -0.13717
  0.92765  -0.13659
  0.95386  -0.13594
  0.98011  -0.13521
ZONE T="plast34", I=   3, F=POINT
 -1.00000   0.00000
  0.00000   0.00000
  0.08090  -0.05878
